#SampleID	IS	state
sample1	0.76	inflamed
sample2	0.71	inflamed
sample3	0.86	inflamed
sample4	0.72	inflamed
sample5	0.53	inflamed
sample6	0.96	inflamed
sample7	0.97	inflamed
sample8	0.85	inflamed
sample9	0.66	inflamed
sample10	0.55	inflamed
sample11	0.89	inflamed
sample12	0.52	inflamed
sample13	0.82	inflamed
sample14	0.94	inflamed
sample15	0.84	inflamed
sample16	0.69	inflamed
sample17	0.63	inflamed
sample18	0.95	inflamed
sample19	0.77	inflamed
sample20	0.65	inflamed
sample21	0.08	control
sample22	0.47	control
sample23	0.43	control
sample24	0.1	control
sample25	0.2	control
sample26	0.39	control
sample27	0.24	control
sample28	0.26	control
sample29	0.09	control
sample30	0.01	control
sample31	0.35	control
sample32	0.18	control
sample33	0.44	control
sample34	0.16	control
sample35	0.14	control
sample36	0.32	control
sample37	0.22	control
sample38	0.21	control
sample39	0.19	control
sample40	0.3	control
