#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40
OTU_1	0.024050024	0.108251143	0	0	0.672566372	0.215259507	0.497957099	0.011401209	0.046307016	0.192090395	0.263978882	0.112345525	0.060923602	0.034419458	0.135440181	0.731240859	0	0.678087081	0.438202247	0.142857143	0.39678041	0	0.481540931	0.178551501	0.349243306	0.036079375	0	0.110692938	0.680272109	0.354374308	1.941133031	0.010350895	0.02359882	1.791958042	1.867783564	0	0.979387314	0.227169468	1.339136257	0
OTU_2	0	0	0	0	0	0	0	0.034203626	0	0	0.01199904	0	0	0	0	0	0	0.023792529	0	0.011904762	0	0	0	0.011159469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3	0.036075036	0	0.011579435	0.033482143	0.03539823	0	0	0	0	0	0	0	0	0.034419458	0	0.033749578	0.011879306	0.023792529	0.02247191	0.011904762	0.034009749	0	0	0.011159469	0.021166261	0	0	0.011069294	0.010972131	0.022148394	0.010549636	0.051754477	0.01179941	0	0.079239303	0.035808069	0.045552898	0.011358473	0.033478406	0.011055832
OTU_4	0.036075036	0	0	0	0.04719764	0	0.012768131	0	0	0.011299435	0	0.012482836	0	0	0	0.022499719	0	0	0	0	0.034009749	0	0.171214553	0	0	0	0	0.08855435	0	0	0.168794177	0.300175965	0.03539823	0.163898601	0	0	0.102494021	0.056792367	0.100435219	0.022111664
OTU_5	0	0.036083714	0	0.011160714	0.01179941	0	0	0.057006043	0.011576754	0	0	0	0	0.022946306	0.022573363	0	0	0	0	0.011904762	0	0.011788282	0.021401819	0	0.031749391	0	0	0	0	0	0	0	0	0.065559441	0.0113199	0	0	0	0	0
OTU_6	0	0	0.011579435	0	0.02359882	0	0.063840654	0.022802417	0.034730262	0.02259887	0.119990401	0.012482836	0.024369441	0	0.011286682	0.056249297	0.035637919	0.023792529	0	0.035714286	0.170048747	0.153247672	0.160513644	0.267827251	0.190496349	0.108238124	0.144060284	0.254593757	0.131665569	0.110741971	0	0.103508954	0.1179941	0.065559441	0.079239303	0.214848413	0.056941123	0.124943208	0.212029907	0.165837479
OTU_7	0	0	0	0	0	0	0.012768131	0	0	0.011299435	0	0	0	0	0	0.011249859	0	0	0	0	0	0	0.01070091	0	0.01058313	0.060132291	0.01108156	0.011069294	0	0.033222591	0	0.020701791	0	0.054632867	0.045279602	0.011936023	0.011388225	0.022716947	0.011159469	0.011055832
OTU_8	0.024050024	0	0	0	0	0	0.025536261	0	0	0	0.01199904	0	0	0	0.011286682	0	0	0	0	0	0.011336583	0.023576565	0	0	0.01058313	0	0.022163121	0	0.032916392	0.022148394	0	0.010350895	0.01179941	0.021853147	0.0113199	0	0.034164674	0	0.011159469	0
OTU_9	0.06012506	0	0	0.011160714	0.01179941	0.011958862	0.038304392	0	0	0	0.02399808	0	0.01218472	0.068838917	0	0.044999438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	0	0.072167428	0.011579435	0	0	0	0	0	0	0.011299435	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055797344	0.01058313	0	0.033244681	0	0.010972131	0.011074197	0.021099272	0.051754477	0	0	0.033959701	0.143232275	0	0.011358473	0.011159469	0.011055832
OTU_11	2.176527177	2.646139043	3.76331635	2.421875	2.312684366	2.379813442	3.128192033	2.417056208	2.847881454	1.457627119	2.147828174	3.557608289	2.388205191	3.728774667	1.51241535	1.97997525	3.290567831	3.640256959	2.988764045	2.511904762	3.888448022	1.332075917	2.439807384	4.095525053	4.614244894	2.850270595	4.776152482	4.062430817	3.390388413	2.934662237	4.272602595	3.157023082	3.268436578	1.715472028	2.592257188	1.253282406	2.892609042	3.180372558	3.582189488	4.964068546
OTU_12	2.200577201	1.707962473	1.968503937	0.345982143	0.873156342	1.064338675	2.170582227	0.957701516	1.643899051	1.93220339	1.835853132	1.323180627	1.925185817	0.458926113	2.652370203	2.384970188	1.437396056	1.37996669	1.269662921	1.25	2.30132638	4.762466109	1.872659176	0.948554849	1.799132183	2.405291642	3.191489362	3.353996015	2.984419574	1.771871539	1.846186307	2.246144291	3.740412979	2.381993007	1.743264659	4.607304846	2.038492199	3.498409814	2.332328981	2.443338861
OTU_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011336583	0	0	0	0	0	0	0	0.010972131	0.022148394	0	0	0	0	0.0113199	0	0	0.011358473	0	0
OTU_14	0	0	0	0.256696429	0	0.023917723	0	0	0	0	0	0	0	0.08031207	0	0	0	0	2.269662921	0	0	0	0	0	0	0	0	0	0	0	0	0.051754477	0	0	0	0	0	0	0	0
OTU_15	0	0.120279047	0.162112089	0	0	0	0	0.057006043	0.081037277	0.04519774	0	0.062414181	0	0	0	0	0	0.059481323	0	0.011904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_16	0	0.012027905	0.034738305	0.078125	0.03539823	0	0.012768131	0	0.011576754	0	0	0.037448508	0.024369441	0	0.022573363	0	0	0.011896265	0.02247191	0.011904762	0.011336583	0	0.074906367	0	0	0	0	0	0	0.022148394	0.063297816	0.020701791	0	0	0.033959701	0.011936023	0.12527047	0	0.033478406	0.088446656
OTU_17	0	0.012027905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011159469	0	0	0	0	0.010972131	0	0	0	0	0	0	0.011936023	0	0	0	0.022111664
OTU_18	0.108225108	0.216502285	0.220009264	0.033482143	0.15339233	0.059794308	0.383043922	0.228024171	0.254688585	0.406779661	0.275977922	0.22469105	0.134031924	0.068838917	0.32731377	0.168747891	0.142551675	0.261717821	0.112359551	0.214285714	0.022673166	0	0	0.011159469	0	0	0.01108156	0	0	0	0	0	0	0.010926573	0	0	0	0	0	0
OTU_19	0.012025012	0	0.011579435	0.011160714	0	0	0	0	0.011576754	0	0	0	0	0	0	0	0	0	0	0.011904762	0	0	0	0.044637875	0	0.012026458	0	0.011069294	0.010972131	0	0.010549636	0.010350895	0.01179941	0.010926573	0	0.011936023	0.011388225	0.011358473	0	0.011055832
OTU_20	0	0.048111619	0	0	0.01179941	0	0	0	0.289418847	0	0	0	0.499573535	0	0.191873589	1.721228485	0	0.011896265	0	0.095238095	0.170048747	0	0.877474585	0.044637875	0.021166261	0.120264582	0	0	0.010972131	0.044296788	0	0	0.07079646	0	0.022639801	0.071616138	0.353034962	0.102226261	0.122754157	0
OTU_21	0	0	0	0	0.01179941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011336583	0.011788282	0	0.011159469	0.01058313	0	0.01108156	0.011069294	0	0.110741971	0	0	0	0	0.0113199	0	0.011388225	0.022716947	0	0
OTU_22	0	0	0	0	0	0	0	0	0	0.011299435	0	0	0	0	0	0	0.011879306	0	0	0.011904762	0.011336583	0	0.021401819	0.033478406	0.021166261	0.036079375	0.022163121	0	0	0	0.010549636	0.010350895	0	0.010926573	0	0	0	0	0.022318938	0
OTU_23	0.156325156	0.601395237	0.266327003	0.111607143	0.330383481	0.035876585	0.102145046	0.068407251	0.35887937	0.237288136	0.239980802	0.124828361	0.792006823	0.619550252	0.372460497	0.3599955	0.249465431	0.28551035	0.235955056	0.392857143	1.303707063	0.589414122	1.187800963	0.703046535	0.85723357	0.625375827	0.531914894	0.232455169	7.120912881	0.287929125	0.10549636	0.848773419	0.1179941	0.131118881	0.056599502	0.931009788	0.831340394	1.510676965	0.390581408	1.525704809
OTU_24	0.204425204	0.70964638	0.04631774	0.334821429	0.247787611	0.179382923	0.561797753	0.148215711	0.289418847	0.033898305	0.01199904	0.237173886	0.194955526	0.390087196	0.090293454	0.821239735	0.356379187	0.761360933	0.325842697	0.142857143	0	0.035364847	0	0	0	0	0	0	0	0	0	0.010350895	0	0.021853147	0.0113199	0.023872046	0	0.03407542	0	0.011055832
OTU_25	0.493025493	0.541255713	0.382121352	0.357142857	0.696165192	0.526189907	0.753319714	0.558659218	0.833526279	0.711864407	1.019918407	0.561727625	0.548312416	0.745754933	0.519187359	0.483743953	0.522689475	0.380680466	0.202247191	0.666666667	0.158712164	0.801603206	0.417335474	0.357103002	0.317493915	0.156343957	0.41001773	0.121762232	0.1426377	0.431893688	0.031648908	0.010350895	0.05899705	0.098339161	0.079239303	0.179040344	0.170823369	0.454338937	0.435219284	0.154781647
OTU_26	0.024050024	0.012027905	0.011579435	0.022321429	0	0	0.012768131	0.034203626	0.023153508	0.056497175	0.0599952	0.012482836	0.024369441	0	0.045146727	0.022499719	0.011879306	0.011896265	0.011235955	0.023809524	0.011336583	0	0.064205457	0.044637875	0.021166261	0.012026458	0.01108156	0	0.054860654	0.055370986	0.042198544	0	0.09439528	0	0.045279602	0.131296252	0.056941123	0.011358473	0.08927575	0.077390824
OTU_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042803638	0	0	0	0	0.033207881	0	0	0	0.010350895	0	0.010926573	0	0	0	0	0	0
OTU_28	0.012025012	0.048111619	0.02315887	0	0.01179941	0.011958862	0.012768131	0	0	0.11299435	0.02399808	0	0	0	0	0.011249859	0	0	0	0	0.034009749	0	0	0	0	0	0	0.011069294	0.032916392	0	0	0	0	0	0	0	0.011388225	0.011358473	0	0
OTU_29	0.072150072	0.012027905	0	0.044642857	0	0	0	0.011401209	0.011576754	0.04519774	0	0.012482836	0.097477763	0.08031207	0.056433409	0.112498594	0.011879306	0.011896265	0.04494382	0.023809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_30	0	0	0	0	0	0	0	0	0	0.011299435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021166261	0	0	0.011069294	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31	0	0	0	0	0.01179941	0	0	0	0.011576754	0	0	0	0	0	0	0	0	0	0	0.011904762	0	0	0	0	0.01058313	0	0	0	0	0	0.010549636	0	0	0	0.0113199	0	0.011388225	0	0	0
OTU_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045892611	0	0	0	0	0	0	0	0	0.032102729	0	0.021166261	0	0	0.044277175	0.120693439	0.254706534	0	0.13456164	0	0	0	0.035808069	0.022776449	0.056792367	0.08927575	0.05527916
OTU_33	0	0	0	0	0	0	0	0	0	0.101694915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_34	0	0	0.011579435	0.033482143	0	0.023917723	0	0.045604834	0	0	0	0.024965672	0	0	0.011286682	0	0	0	0.02247191	0	0.011336583	0	0	0	0	0.012026458	0	0	0.010972131	0	0	0	0	0.03277972	0	0.023872046	0.056941123	0.011358473	0	0.011055832
OTU_35	0	0	0	0	0	0	0	0	0.046307016	0	0	0	0.024369441	0	0	0.157498031	0	0	0	0.011904762	0.011336583	0	0.085607277	0	0.01058313	0	0	0	0	0	0	0	0	0	0	0.023872046	0.091105797	0.011358473	0.011159469	0
OTU_36	0	0	0	0.022321429	0.03539823	0	0	0.011401209	0.011576754	0.011299435	0.01199904	0.062414181	0	0.011473153	0.011286682	0.011249859	0	0	0.02247191	0	0.011336583	0.035364847	0.107009096	0	0.063498783	0	0.01108156	0.033207881	0.010972131	0	0	0.031052686	0	0.010926573	0.022639801	0	0.011388225	0.011358473	0.022318938	0.033167496
OTU_37	0	0	0.011579435	0	0.01179941	0.035876585	0.025536261	0.011401209	0.011576754	0.011299435	0	0.024965672	0.01218472	0	0	0	0	0.011896265	0	0.011904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033207881	0	0	0	0	0	0	0	0	0	0	0	0
OTU_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032102729	0	0	0.012026458	0	0	0.010972131	0	0	0	0.01179941	0	0.022639801	0.011936023	0	0	0	0
OTU_40	0	0.012027905	0	0	0	0	0	0.07980846	0.046307016	0	0	0.149794033	0.01218472	0	0	0	0.011879306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_41	0	0	0	0	0	0.035876585	0	0.022802417	0.011576754	0.056497175	0.01199904	0.024965672	0	0	0	0	0	0	0	0	0.011336583	0.106094542	0	0	0	0	0	0	0.065832785	0.011074197	0.010549636	0	0	0	0	0	0.022776449	0	0	0.033167496
